placement,candidate,dataset,analysis_level,metric,mean,sample_sd,n_seeds,threshold_origin,threshold_mean,threshold_sample_sd,source_constraint_mean
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,brier,0.1188173172662486,0.016283850189478283,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,ece_15,0.10898598818508211,0.05482599432110907,3,none,,,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,f1_source_fixed,0.8862245518592268,0.017325398099660227,3,source_validation,0.5002215038712355,0.00010171537624245497,0.9964496941857433
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,analysis_unit,target_eer_descriptive,0.1507591442374051,0.013327261154348987,3,target_descriptive,0.4531250093714334,0.12494113852158768,
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,frame,tpr_at_source_fpr_0.001,0.21929347826086956,0.03018996057105183,3,source_validation,0.9999827146530151,6.267280305907686e-06,0.0008934554389099843
Attn-Q/V,std_attn_qv_r15_alpha60_p025,WildDeepfake,frame,tpr_at_source_fpr_0.01,0.4852355072463768,0.049669076604688826,3,source_validation,0.9996512134869894,9.834761571401322e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,brier,0.07146191605827075,0.0036666660732858646,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,ece_15,0.06273290659686657,0.009823892832980538,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,f1_source_fixed,0.9321235791007754,0.006174174343768804,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,analysis_unit,target_eer_descriptive,0.09579202467503856,0.005032807513353125,3,target_descriptive,0.7128291222878438,0.05402821594421692,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.001,0.42333333333333334,0.05908474012615301,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.01,0.7366049382716049,0.043664091956471245,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,analysis_unit,brier,0.153068035878986,0.002280263478759864,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,analysis_unit,ece_15,0.10048265332541977,0.01917355208246953,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,analysis_unit,f1_source_fixed,0.776423327242223,0.013864021824150865,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,analysis_unit,target_eer_descriptive,0.19494078481256033,0.004814365099661293,3,target_descriptive,0.3057428950374338,0.057545562158186216,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,frame,tpr_at_source_fpr_0.001,0.31298504500055674,0.06211614731013822,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDC,frame,tpr_at_source_fpr_0.01,0.5076372650118856,0.04189047847820446,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,analysis_unit,brier,0.11698339297875106,0.010430425337978175,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,analysis_unit,ece_15,0.09181227167920651,0.017520620548061958,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,analysis_unit,f1_source_fixed,0.8688974295696272,0.014350109010210678,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,analysis_unit,target_eer_descriptive,0.14401401195137029,0.012021186154744339,3,target_descriptive,0.41155740871307533,0.0587185280456146,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,frame,tpr_at_source_fpr_0.001,0.36530930718723315,0.08299197935708694,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DFDCP,frame,tpr_at_source_fpr_0.01,0.6241498100874481,0.04459372148458145,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,analysis_unit,brier,0.007859365052023653,0.004673491249859128,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,analysis_unit,ece_15,0.028079576502686755,0.011276351828250677,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,analysis_unit,f1_source_fixed,0.5689391230476835,0.17975684646489526,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,analysis_unit,target_eer_descriptive,0.025027252534690632,0.0049842860890426085,3,target_descriptive,0.2351268463771912,0.07500986338310439,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.001,0.5212158937649134,0.10691128031908495,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.01,0.7834318912750285,0.052804982851154515,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,analysis_unit,brier,0.08085190955466,0.01996821603242677,3,none,,,
